team,avg_gf,avg_ga,avg_gd,win_rate,draw_rate,loss_rate,pct_high_scoring,n_matches,possession,corners,fouls,attempts,on_target,cluster,cluster_label
Hong Kong,1.258,1.439,-0.182,0.303,0.212,0.485,0.455,66,,,,,,2,equilibrado medio
Hungary,1.33,1.216,0.114,0.432,0.239,0.33,0.5,88,,,,,,1,elite ofensivo
Iceland,1.317,1.723,-0.406,0.277,0.248,0.475,0.594,101,,,,,,0,defensivo / debil
India,1.125,1.153,-0.028,0.292,0.319,0.389,0.403,72,,,,,,2,equilibrado medio
Indonesia,1.64,1.629,0.011,0.393,0.202,0.404,0.618,89,,,,,,0,defensivo / debil
Iran,2.067,0.708,1.36,0.663,0.169,0.169,0.483,89,31.333333333333332,2.6666666666666665,12.333333333333334,11.666666666666666,3.6666666666666665,1,elite ofensivo
Iraq,1.299,0.897,0.402,0.467,0.327,0.206,0.411,107,,,,,,2,equilibrado medio
Israel,1.64,1.747,-0.107,0.373,0.2,0.427,0.693,75,,,,,,0,defensivo / debil
Italy,1.958,0.916,1.042,0.579,0.242,0.179,0.505,95,,,,,,1,elite ofensivo
Ivory Coast,1.756,0.756,1.0,0.6,0.211,0.189,0.511,90,,,,,,1,elite ofensivo
Jamaica,1.49,1.144,0.346,0.423,0.269,0.308,0.481,104,,,,,,1,elite ofensivo
Japan,2.352,0.796,1.556,0.648,0.148,0.204,0.546,108,29.75,4.75,14.5,10.5,3.25,1,elite ofensivo
Jordan,1.505,1.072,0.432,0.459,0.234,0.306,0.486,111,,,,,,1,elite ofensivo
Kazakhstan,1.088,1.6,-0.512,0.325,0.162,0.512,0.512,80,,,,,,0,defensivo / debil
Kenya,1.154,1.246,-0.092,0.338,0.323,0.338,0.446,65,,,,,,2,equilibrado medio
Kosovo,1.506,1.181,0.325,0.434,0.241,0.325,0.494,83,,,,,,1,elite ofensivo
Kuwait,1.227,1.398,-0.17,0.307,0.273,0.42,0.443,88,,,,,,2,equilibrado medio
Kyrgyzstan,1.453,1.578,-0.125,0.344,0.172,0.484,0.516,64,,,,,,0,defensivo / debil
Laos,0.854,2.463,-1.61,0.122,0.195,0.683,0.683,41,,,,,,3,defensivo / debil
Latvia,0.867,1.59,-0.723,0.193,0.301,0.506,0.398,83,,,,,,2,equilibrado medio
Lebanon,0.973,1.093,-0.12,0.293,0.24,0.467,0.387,75,,,,,,2,equilibrado medio
Lesotho,0.676,1.412,-0.735,0.206,0.324,0.471,0.353,68,,,,,,2,equilibrado medio
Liberia,0.807,1.456,-0.649,0.228,0.211,0.561,0.421,57,,,,,,2,equilibrado medio
Libya,1.131,1.213,-0.082,0.344,0.262,0.393,0.393,61,,,,,,2,equilibrado medio
Liechtenstein,0.351,2.649,-2.299,0.065,0.13,0.805,0.519,77,,,,,,3,defensivo / debil
Lithuania,0.659,1.894,-1.235,0.153,0.2,0.647,0.447,85,,,,,,0,defensivo / debil
Luxembourg,0.877,1.593,-0.716,0.259,0.198,0.543,0.444,81,,,,,,0,defensivo / debil
Macau,0.45,2.25,-1.8,0.1,0.1,0.8,0.45,20,,,,,,3,defensivo / debil
Madagascar,1.153,1.333,-0.181,0.306,0.292,0.403,0.431,72,,,,,,2,equilibrado medio
Malawi,0.797,1.127,-0.329,0.266,0.316,0.418,0.354,79,,,,,,2,equilibrado medio
Malaysia,1.944,1.189,0.756,0.544,0.167,0.289,0.6,90,,,,,,1,elite ofensivo
Maldives,1.1,1.82,-0.72,0.3,0.12,0.58,0.62,50,,,,,,0,defensivo / debil
Mali,1.513,0.603,0.91,0.5,0.321,0.179,0.333,78,,,,,,2,equilibrado medio
Malta,0.797,1.975,-1.177,0.228,0.19,0.582,0.481,79,,,,,,0,defensivo / debil
Martinique,1.175,1.525,-0.35,0.3,0.275,0.425,0.5,40,,,,,,2,equilibrado medio
Mauritania,0.81,1.215,-0.405,0.291,0.266,0.443,0.342,79,,,,,,2,equilibrado medio
Mauritius,0.827,1.346,-0.519,0.231,0.231,0.538,0.365,52,,,,,,2,equilibrado medio
Mexico,1.519,0.948,0.57,0.533,0.222,0.244,0.467,135,48.333333333333336,5.333333333333333,17.0,14.0,5.0,1,elite ofensivo
Moldova,0.686,2.023,-1.337,0.186,0.198,0.616,0.442,86,,,,,,0,defensivo / debil
Mongolia,1.027,2.135,-1.108,0.243,0.108,0.649,0.486,37,,,,,,0,defensivo / debil
Montenegro,1.073,1.439,-0.366,0.317,0.232,0.451,0.451,82,,,,,,2,equilibrado medio
Montserrat,1.139,1.75,-0.611,0.361,0.139,0.5,0.611,36,,,,,,0,defensivo / debil
Morocco,1.823,0.531,1.292,0.673,0.221,0.106,0.434,113,34.857142857142854,1.7142857142857142,13.857142857142858,8.714285714285714,2.4285714285714284,1,elite ofensivo
Mozambique,1.085,1.317,-0.232,0.317,0.268,0.415,0.427,82,,,,,,2,equilibrado medio
Myanmar,0.879,2.576,-1.697,0.212,0.167,0.621,0.591,66,,,,,,3,defensivo / debil
Namibia,0.915,1.211,-0.296,0.296,0.282,0.423,0.408,71,,,,,,2,equilibrado medio
Nepal,0.742,1.742,-1.0,0.258,0.197,0.545,0.424,66,,,,,,0,defensivo / debil
Netherlands,2.295,0.968,1.326,0.579,0.253,0.168,0.632,95,45.0,3.8,17.4,8.0,3.2,1,elite ofensivo
New Caledonia,2.219,1.188,1.031,0.5,0.125,0.375,0.594,32,,,,,,1,elite ofensivo
New Zealand,1.804,0.98,0.824,0.451,0.137,0.412,0.49,51,,,,,,1,elite ofensivo
Nicaragua,1.479,1.315,0.164,0.37,0.205,0.425,0.466,73,,,,,,1,elite ofensivo
Niger,1.121,1.652,-0.53,0.258,0.212,0.53,0.47,66,,,,,,0,defensivo / debil
Nigeria,1.525,0.95,0.574,0.485,0.287,0.228,0.426,101,,,,,,1,elite ofensivo
North Korea,1.184,1.684,-0.5,0.289,0.237,0.474,0.474,38,,,,,,0,defensivo / debil
North Macedonia,1.417,1.274,0.143,0.405,0.274,0.321,0.464,84,,,,,,2,equilibrado medio
Northern Ireland,1.063,1.278,-0.215,0.329,0.203,0.468,0.405,79,,,,,,2,equilibrado medio
Norway,2.086,0.951,1.136,0.568,0.222,0.21,0.543,81,,,,,,1,elite ofensivo
Oman,1.142,0.896,0.245,0.443,0.283,0.274,0.387,106,,,,,,2,equilibrado medio
Pakistan,0.414,2.276,-1.862,0.103,0.103,0.793,0.552,29,,,,,,3,defensivo / debil
Palestine,1.042,1.208,-0.167,0.278,0.319,0.403,0.417,72,,,,,,2,equilibrado medio
Panama,1.405,1.397,0.009,0.405,0.224,0.371,0.517,116,,,,,,1,elite ofensivo
Papua New Guinea,1.667,1.606,0.061,0.424,0.242,0.333,0.576,33,,,,,,1,elite ofensivo
Paraguay,0.899,1.215,-0.316,0.266,0.329,0.405,0.342,79,,,,,,2,equilibrado medio
Peru,0.948,1.146,-0.198,0.323,0.24,0.438,0.333,96,,,,,,2,equilibrado medio
Philippines,1.313,1.597,-0.284,0.313,0.209,0.478,0.537,67,,,,,,0,defensivo / debil
Poland,1.628,1.213,0.415,0.457,0.223,0.319,0.489,94,31.75,2.75,12.0,7.75,1.75,1,elite ofensivo
Portugal,2.287,0.822,1.465,0.614,0.228,0.158,0.594,101,54.2,5.6,11.2,12.4,5.0,1,elite ofensivo
Puerto Rico,1.933,1.489,0.444,0.444,0.133,0.422,0.6,45,,,,,,1,elite ofensivo
Qatar,1.608,1.258,0.35,0.483,0.208,0.308,0.567,120,40.666666666666664,3.0,10.333333333333334,7.0,2.0,1,elite ofensivo
Republic of Ireland,1.049,1.074,-0.025,0.309,0.321,0.37,0.383,81,,,,,,2,equilibrado medio
Romania,1.558,1.093,0.465,0.453,0.244,0.302,0.523,86,,,,,,1,elite ofensivo
Russia,2.0,0.986,1.014,0.534,0.247,0.219,0.589,73,,,,,,1,elite ofensivo
Rwanda,0.927,0.982,-0.055,0.273,0.309,0.418,0.273,55,,,,,,2,equilibrado medio
Saint Kitts and Nevis,1.536,1.839,-0.304,0.375,0.161,0.464,0.625,56,,,,,,0,defensivo / debil
Saint Lucia,1.179,1.692,-0.513,0.41,0.128,0.462,0.641,39,,,,,,0,defensivo / debil
Saint Martin,1.794,2.088,-0.294,0.412,0.059,0.529,0.824,34,,,,,,0,defensivo / debil
Saint Vincent and the Grenadines,1.552,1.81,-0.259,0.397,0.172,0.431,0.621,58,,,,,,0,defensivo / debil
San Marino,0.25,3.197,-2.947,0.026,0.092,0.882,0.605,76,,,,,,3,defensivo / debil
Saudi Arabia,1.184,1.048,0.136,0.408,0.24,0.352,0.416,125,36.666666666666664,2.6666666666666665,18.666666666666668,9.666666666666666,3.0,2,equilibrado medio
Scotland,1.386,1.341,0.045,0.432,0.182,0.386,0.545,88,,,,,,1,elite ofensivo
Senegal,1.71,0.645,1.065,0.636,0.243,0.121,0.383,107,39.75,5.5,12.0,12.75,3.5,1,elite ofensivo
